time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.023388900781631e-05,6.3025990119924045e-06,10.005793749353247,0.0016587949318829232,0.016872938751611777,0.0,-0.004244431892117124,0.00038715723110808043,0.19310085460780355,0.012959681083112778,0.04381322264710448,0.0,464.29944174389584,467.7235945568029,464.49695531062804,465.5119148259667
0.12000000000000001,-0.0006815928468505804,6.932158379020068e-05,10.020158842483891,0.0033656257654302024,0.02011628623239936,0.0,-0.016453662687691578,0.0018761629561402397,0.28571015787947635,0.02238743726942627,0.0512840149372118,0.0,433.714971218141,434.3431942496679,434.8474167426215,435.63624071466
0.18,-0.0022273685702121153,0.00028026031232407985,10.043574142492664,0.007098305077059663,0.03815338831790438,0.0,-0.03715387737163617,0.0056170862098447495,0.494675598663582,0.004211766293438787,0.09247051280895263,0.0,468.5612356595953,471.7547340087648,471.3486959905067,469.9420986256322
0.23999999999999996,-0.005599135102086535,0.0008595786774282882,10.083397198083794,0.01634089551259965,0.05446395993153086,0.0,-0.07742246866778292,0.014915751359717068,0.8324668292687711,0.03587853720863664,0.127227075443972,0.0,505.55209148579877,508.0579127860879,506.70860397250703,508.97959387913403
0.3,-0.011591562599092907,0.0021505218432073614,10.139312384332618,0.01854339548923356,0.06828453485690034,0.0,-0.12389835395551876,0.02837277752707693,1.031113709433608,0.031955328965926136,0.15330026566348232,0.0,467.69247025133035,469.7345989369334,468.0850550623957,467.7801266691223
0.36000000000000004,-0.02111713791229663,0.0044182641111875495,10.213096141657992,0.02181624770513757,0.08041432627484468,0.0,-0.19539201416248989,0.04766871090998863,1.4277901993308173,0.04356547738266056,0.13330422419627797,0.0,525.4504846528677,524.0791831056046,523.7371653239683,524.5443145792682
0.4200000000000001,-0.03466519837275259,0.00780227515472413,10.302850568886848,0.03463084667756622,0.09745382225535604,0.0,-0.2580618269702737,0.06646212357235837,1.563641657876086,0.0773726039081933,0.09914299454237065,0.0,453.3249270981378,450.58511085154987,448.8374963529099,451.5746889982862
0.48000000000000015,-0.052384581798933155,0.0126402519370282,10.401530262072926,0.05080396362402073,0.10482397252701503,0.0,-0.3333978361434866,0.09663152754891867,1.7252791844998177,0.038954857750776464,0.08482638265855251,0.0,460.3978705284233,459.2710907023503,461.2735401546559,458.23293902843267
0.5400000000000001,-0.07468404077442316,0.019548005704083632,10.508971586502335,0.05375408789728997,0.11001654473779521,0.0,-0.41044860282805856,0.13393705324708424,1.8558013656623884,0.029095557726795854,0.08734068084576155,0.0,450.6359957246118,450.84510527245413,451.7228357561005,450.9276896954409
0.6000000000000002,-0.1021369435743566,0.028994672029176456,10.627907787218923,0.06540874960005016,0.11636059001288857,0.0,-0.5054086580148306,0.18233072215630297,2.1081072530911387,0.062399144646778995,0.07456978626819483,0.0,489.15517059692564,488.20823495533233,486.2291800656957,488.71839521211024
0.6600000000000003,-0.1348333699288661,0.04126712649712502,10.756777936575011,0.07097752499185361,0.12178576953924569,0.0,-0.5850072607108548,0.2272716955799641,2.187285924003875,0.07604529327977712,0.06261946808677392,0.0,438.07498145727857,437.0841153940339,435.441402375646,436.5848827429074
0.7200000000000003,-0.17253406428766066,0.05641438514762653,10.891350585147208,0.0758250969256844,0.12660922184477474,0.0,-0.672173563858136,0.2781102989922718,2.298116990837198,0.08081337038673592,0.05004393711705357,0.0,447.05389434641745,446.0304534612915,448.202648259963,448.59471521641984
0.7800000000000004,-0.21516726889826754,0.07447726381466675,11.029480550608023,0.08093795511869306,0.13005936125085427,0.0,-0.7492378915189456,0.32442517797611137,2.3060926862522275,0.08536854211449293,0.05626934124722261,0.0,414.3260196672592,414.874949064419,414.47499694187553,414.8811716981147
0.8400000000000004,-0.2624925492949126,0.09541120202313672,11.16807511580315,0.08655030411674858,0.13434866433747672,0.0,-0.8286672777324402,0.3738518226366068,2.31358082396605,0.0919313438045808,0.04453253836489529,0.0,414.67865137282644,413.6484001500613,415.0967724706437,415.6792236027576
0.9000000000000005,-0.3146300332774042,0.11940918482861597,11.306894461508984,0.096950228856449,0.1373010798072869,0.0,-0.9095128840412919,0.4270013895091115,2.3135700851082523,0.0664918754311628,0.04925648425723246,0.0,412.4650023019348,412.88341220639086,413.59615165011564,411.35589622831986
0.9600000000000005,-0.3718300702600714,0.1468424773523562,11.446527193783496,0.10198342636005275,0.150946490748062,0.0,-0.9984340959709027,0.4878783692810059,2.3405068999332097,0.054036144351500365,0.01221995554040911,0.0,424.3923433798523,421.20228463617747,422.0601950478971,420.9868752502807
1.0200000000000005,-0.4350077901146149,0.1783386752782518,11.590558600618255,0.11413487818677837,0.15171835767562047,0.0,-1.1075486164278954,0.5632666417775848,2.4600646162043276,0.020116585912035495,0.008554113445391271,0.0,452.77823550365935,452.4830974131471,454.41835118769114,451.6922560517625
1.0800000000000005,-0.5046334368205235,0.2144840827933953,11.740963236175139,0.1159626783931813,0.15231126008557272,0.0,-1.2133484210113181,0.6417347241084257,2.5531178233744867,0.010202372651388958,0.01067054327390311,0.0,445.1938268206401,445.3668398563093,445.93108376731954,445.12041866470736
1.1400000000000006,-0.5811719707688463,0.2557338906374671,11.900081795590804,0.11669133357814232,0.16743733838679642,0.0,-1.3395845806086062,0.7332314500968101,2.749973598965339,0.012929398506603535,0.05118065980828456,0.0,476.9933647304553,480.0771588335746,477.66102731893454,477.8688106919308
