time,episode,total_reward
1.5000000000000009,1,-53.620147443499576
1.5000000000000009,2,-54.93764590499285
1.4400000000000008,3,-43.720071426548046
1.560000000000001,4,-50.76484592926788
1.4400000000000008,5,-53.34310028800605
1.620000000000001,6,-44.60223013581624
1.3200000000000007,7,-46.14198039970957
1.620000000000001,8,-53.43991108727709
1.620000000000001,9,-64.41391435900161
1.560000000000001,10,-53.555605091790845
1.560000000000001,11,-44.51000629139593
1.3800000000000008,12,-47.13384092341397
1.3800000000000008,13,-40.44451651236453
1.5000000000000009,14,-55.3660892014623
1.2600000000000007,15,-35.95624623018074
1.3800000000000008,16,-43.70302738706562
1.4400000000000008,17,-42.41369108124017
1.560000000000001,18,-50.77325005797344
1.4400000000000008,19,-52.351530687245514
1.3200000000000007,20,-42.54256222701292
1.3200000000000007,21,-44.82501321393097
1.3800000000000008,22,-46.04611752748287
1.4400000000000008,23,-52.29936811684264
1.4400000000000008,24,-46.927457617105986
1.4400000000000008,25,-48.708534070268
1.5000000000000009,26,-42.1584945753286
1.5000000000000009,27,-52.237079536713786
1.5000000000000009,28,-45.04128495884065
1.5000000000000009,29,-42.70828950932699
1.4400000000000008,30,-41.854081525105975
1.3800000000000008,31,-45.06541045374044
1.3800000000000008,32,-45.80494682305262
1.5000000000000009,33,-46.22219378829624
1.3800000000000008,34,-44.73541418902114
1.5000000000000009,35,-38.377238348665074
1.4400000000000008,36,-44.646666980030375
1.560000000000001,37,-40.23736234947986
1.620000000000001,38,-46.57387069172837
1.5000000000000009,39,-40.360248436835036
1.560000000000001,40,-44.49691055323766
1.680000000000001,41,-53.274426142328934
1.5000000000000009,42,-38.05902253853516
1.620000000000001,43,-48.65531711986567
1.560000000000001,44,-43.78693032586888
1.5000000000000009,45,-50.1097311847149
1.4400000000000008,46,-39.972534854177354
1.4400000000000008,47,-45.283416979636996
1.3800000000000008,48,-43.65455370200775
1.3800000000000008,49,-44.771472657835176
1.3800000000000008,50,-46.38100634423501
1.3800000000000008,51,-46.90111716447444
1.3800000000000008,52,-48.40421087573154
1.3200000000000007,53,-39.585701601884054
1.3200000000000007,54,-38.313625547735036
1.3200000000000007,55,-39.77675711750059
1.3200000000000007,56,-38.81681501254006
1.3200000000000007,57,-41.355731700060126
1.3200000000000007,58,-42.319541964884095
1.3200000000000007,59,-41.82075643017241
1.3200000000000007,60,-41.80247729242545
1.3200000000000007,61,-42.42573860939747
1.3200000000000007,62,-38.59783927020253
1.3200000000000007,63,-38.891897717588776
1.3200000000000007,64,-38.603941709098436
1.3200000000000007,65,-41.960941970103804
1.3200000000000007,66,-39.01593623698048
1.3200000000000007,67,-38.27278045589493
